1,FORMACIN Y SANCIN DE LEYES NACIONALES
1,FORMACIN Y SANCIN LEGISLATIVA
1,ASISTENCIA BIBLIOGRFICA
1,IMPRESIONES Y PUBLICACIONES PARLAMENTARIAS
0,CONSTRUCCIN EDIFICIO. PLANTA DE PRODUCCIN. OFICINAS ADMINISTRATIVAS Y DEPSITO PARA LA
1,ASISTENCIA SOCIAL INTEGRAL AL PERSONAL DEL CONGRESO DE LA NACIN
1,DEFENSA DE LOS DERECHOS DE LOS CIUDADANOS
1,REVISIN DE CUENTAS NACIONALES
1,PROTECCIN DE LOS DERECHOS DEL INTERNO PENITENCIARIO
1,MONITOREO E IMPLEMENTACIN DEL NUEVO CDIGO PROCESAL PENAL DE LA NACIN
1,FORTALECIMIENTO INSTITUCIONAL DEL SENADO DE LA NACIN (BID N ATN/AA-16644-AR)
1,CONTROL PARLAMENTARIO DE SEGUIMIENTO DE TRMITE LEGISLATIVO
1,DEFENSA DEL PBLICO DE SERVICIOS DE COMUNICACIN AUDIOVISUAL
1,SEGUIMIENTO Y CONTROL DEL MINISTERIO PBLICO DE LA NACIN (LEY N 24.946.27.148 Y 27.149)
1,APOYO AL CONGRESO NACIONAL EN MATERIA FISCAL
1,SISTEMA NACIONAL DE PREVENCIN DE LA TORTURA Y OTROS TRATOS O PENAS CRUELES. INHUMANOS O
1,DEFENSA DE LOS DERECHOS DE LAS NIAS. NIOS Y ADOLESCENTES
1,SEGUIMIENTO Y CONTROL DE LA GESTIN DE CONTRATACIN Y PAGO DE LA DEUDA EXTERIOR DE LA NAC
1,CONTROL EXTERNO DE GESTIN DEL SECTOR PBLICO NO FINANCIERO
2,CONTROL EXTERNO ENTES REGULADORES Y EMPRESAS PRESTADORAS DE SERVICIOS PBLICOS
3,CONTROL EXTERNO DEL SECTOR FINANCIERO Y RECURSOS
4,CONTROL EXTERNO DE LA DEUDA PBLICA
5,APOYO ADMINISTRATIVO LOGSTICO
6,DIRECCIN SUPERIOR
8,CONTROL EXTERNO DE LA CUENTA DE INVERSIN
9,PLANIFICACIN Y ASISTENCIA LEGAL Y TCNICA
12,CONTROL DE TRANSFERENCIAS DE FONDOS NACIONALES
13,CONTROL EXTERNO FINANCIERO DEL SECTOR PBLICO NO FINANCIERO
15,ACCIONES DE CAPACITACIN. FORMACIN Y ENTRENAMIENTO TCNICO-PROFESIONAL
1,GESTIN FINANCIERA
2,SERVICIO DE APOYO TECNOLGICO Y ESTADSTICO
3,SERVICIO DE INFRAESTRUCTURA JUDICIAL
4,GESTIN DEL CONSEJO DE LA MAGISTRATURA
5,JURADO DE ENJUICIAMIENTO
6,ADMINISTRACIN DE RECURSOS HUMANOS
1,MANDAMIENTOS Y NOTIFICACIONES
1,PERICIAS JUDICIALES
1,BIBLIOTECA Y JURISPRUDENCIA
1,ARCHIVO GENERAL
1,ADMINISTRACIN GENERAL DE LA CORTE SUPREMA DE JUSTICIA DE LA NACIN
1,JUSTICIA DE MXIMA INSTANCIA
0,TRASLADO DEL SERVICIO JURDICO GRATUITO DE LA UNIVERSIDAD DE BUENOS AIRES
1,FUERO PENAL
1,FUERO CRIMINAL Y CORRECIONAL
1,FUERO DEL TRABAJO Y LA SEGURIDAD SOCIAL
1,CONTROL Y ASISTENCIA DE EJECUCIN PENAL
1,FUERO CRIMINAL Y CORRECCIONAL
1,FUERO CIVIL
1,FUERO COMERCIAL
1,FUERO DEL TRABAJO
1,JUSTICIA PENAL ORAL ORDINARIA
1,FUERO CRIMINAL Y CORRECCIONAL FEDERAL
1,FUERO CIVIL Y COMERCIAL FEDERAL
1,FUERO CONTENCIOSO ADMINISTRATIVO FEDERAL
1,FUERO FEDERAL DE LA SEGURIDAD SOCIAL
1,FUERO ELECTORAL
1,JUSTICIA PENAL ORAL FEDERAL DE LA CAPITAL FEDERAL
1,REA CMARA DE LA PLATA
1,REA CMARA MAR DEL PLATA
1,REA CMARA BAHA BLANCA
1,REA CMARA MENDOZA
1,REA CMARA ROSARIO
1,REA CMARA GENERAL ROCA
1,REA CMARA PARAN
1,REA CMARA POSADAS
1,REA CMARA RESISTENCIA
1,REA CMARA DE CRDOBA
